id,type,title,question,category_path,source_url,decision_kind,decision_year,decision_no,content_hash
diyk_faq_0193c42d-6bd9-7cca-09f0-619d3fd2254f_cdb69e685d,faq,İmsak nedir? Ne zaman başlar? Sabah ezanı okunmaya başladığında yeme içmeye kısa bir süre devam edilebilir mi?,İmsak nedir? Ne zaman başlar? Sabah ezanı okunmaya başladığında yeme içmeye kısa bir süre devam edilebilir mi?,"ORUÇ > Orucun Mahiyeti, Farzları, Sünnetleri ve Adabı > İmsak nedir? Ne zaman başlar? Sabah ezanı okunmaya başladığında yeme içmeye kısa bir süre devam edilebilir mi?",https://kurul.diyanet.gov.tr/soru/imsak-nedir-ne-zaman-baslar-sabah-ezani-okunmaya-basladiginda-yeme-icmeye-kisa-bir-sure-devam-edilebilir-mi/0193c42d-6bd9-7cca-09f0-619d3fd2254f,,,,sha256:cc63d84429e3f5f2e1e9697fc25fbb50d9a26dd436d114d2dc252f1eb3d2403f
diyk_faq_0193c42d-6d53-7150-8b16-df66879c71dd_c26ef282e0,faq,Unutarak yemek içmek orucu bozar mı?,Unutarak yemek içmek orucu bozar mı?,ORUÇ > Orucu Bozmayan Haller > Unutarak yemek içmek orucu bozar mı?,https://kurul.diyanet.gov.tr/soru/unutarak-yemek-icmek-orucu-bozar-mi/0193c42d-6d53-7150-8b16-df66879c71dd,,,,sha256:0264d4491ea336de5e3055f4b49f4fb8fb6c66fb75417e98b41676d1444ab2dc
diyk_faq_0193c42d-7009-7ff1-8fd8-e424fe855030_624c5941e4,faq,Aşı olmak veya iğne yaptırmak orucu bozar mı?,Aşı olmak veya iğne yaptırmak orucu bozar mı?,ORUÇ > Orucu Bozan ve Kazayı Gerektiren Haller > Aşı olmak veya iğne yaptırmak orucu bozar mı?,https://kurul.diyanet.gov.tr/soru/asi-olmak-veya-igne-yaptirmak-orucu-bozar-mi/0193c42d-7009-7ff1-8fd8-e424fe855030,,,,sha256:c0d7d6ec63c8b2fabd6014f0d8550948210eb3c1a873ce81d6df3181647aed83
diyk_faq_0193c42d-706d-7cd9-3f2a-dca2318f74bf_37cc9ea203,faq,Astım hastalarının kullandığı ilaçlı sprey orucu bozar mı?,Astım hastalarının kullandığı ilaçlı sprey orucu bozar mı?,ORUÇ > Orucu Bozmayan Haller > Astım hastalarının kullandığı ilaçlı sprey orucu bozar mı?,https://kurul.diyanet.gov.tr/soru/astim-hastalarinin-kullandigi-ilacli-sprey-orucu-bozar-mi/0193c42d-706d-7cd9-3f2a-dca2318f74bf,,,,sha256:1e53bed4ae10719b163903a0a98bdc0e7add75edc9df3097371a66f4eb1dc4ce
diyk_faq_0193c42d-7086-7d13-9193-e7f15245868f_385155deaa,faq,Diş tedavisi yaptırmak orucu bozar mı?,Diş tedavisi yaptırmak orucu bozar mı?,ORUÇ > Orucu Bozan ve Kazayı Gerektiren Haller > Diş tedavisi yaptırmak orucu bozar mı?,https://kurul.diyanet.gov.tr/soru/dis-tedavisi-yaptirmak-orucu-bozar-mi/0193c42d-7086-7d13-9193-e7f15245868f,,,,sha256:97e934c070c5fa2022d71f7bf6c7785c9ed4c0fad7e3dfd633821dcaf9cf47ef
diyk_faq_0193c42d-70cc-7e97-6c1e-2a04c3f3526f_80dac97437,faq,Yıkanmak orucu bozar mı?,Yıkanmak orucu bozar mı?,ORUÇ > Orucu Bozmayan Haller > Yıkanmak orucu bozar mı?,https://kurul.diyanet.gov.tr/soru/yikanmak-orucu-bozar-mi/0193c42d-70cc-7e97-6c1e-2a04c3f3526f,,,,sha256:4f7e37198cc60651b84fcb0f6a5151d4a9272b9b02e2a5913cdcafe19ae53105
diyk_faq_0193c42d-70e6-7881-8eca-5ba74f4a16a0_6563974168,faq,Diş fırçalamak orucu bozar mı?,Diş fırçalamak orucu bozar mı?,ORUÇ > Orucu Bozan ve Kazayı Gerektiren Haller > Diş fırçalamak orucu bozar mı?,https://kurul.diyanet.gov.tr/soru/dis-fircalamak-orucu-bozar-mi/0193c42d-70e6-7881-8eca-5ba74f4a16a0,,,,sha256:f88098744e06ce375d399309699aadecad7d8418c84268ac895dd14230fc4ec1
diyk_faq_0193c42d-71cf-7b30-f04c-68fbd734c6fc_400d09eb90,faq,Orucu kasten bozmanın hükmü nedir?,Orucu kasten bozmanın hükmü nedir?,ORUÇ > Orucu Bozan ve Keffareti Gerektiren Haller > Orucu kasten bozmanın hükmü nedir?,https://kurul.diyanet.gov.tr/soru/orucu-kasten-bozmanin-hukmu-nedir/0193c42d-71cf-7b30-f04c-68fbd734c6fc,,,,sha256:aadf3cd285672bc3bd6d61ed62baa4538388346e39ff59365d1ec57d1d18fe0c
diyk_faq_0193c42d-725f-7e81-661c-da1308077c34_4ce6c5a823,faq,"Fidye nedir, hangi durumlarda gerekir?","Fidye nedir, hangi durumlarda gerekir?","ORUÇ > Oruç Fidyesi > Fidye nedir, hangi durumlarda gerekir?",https://kurul.diyanet.gov.tr/soru/fidye-nedir-hangi-durumlarda-gerekir/0193c42d-725f-7e81-661c-da1308077c34,,,,sha256:d24d1c00b9b92a06e52f11a1e1e9e5eb84d89edbdb697855fbe8c7edd267a8f2
diyk_faq_0193c42d-7290-72f6-84a6-0b06d5325993_e7e7fc33d5,faq,Oruç fidyesi kimlere verilebilir?,Oruç fidyesi kimlere verilebilir?,ORUÇ > Oruç Fidyesi > Oruç fidyesi kimlere verilebilir?,https://kurul.diyanet.gov.tr/soru/oruc-fidyesi-kimlere-verilebilir/0193c42d-7290-72f6-84a6-0b06d5325993,,,,sha256:c00dedb45af877e926f8a5d06a2c4a61713f0bd7762bbfedaad243a9cd6fb2cb
